Generation,Round,Node,Algorithm,added_s_overhead,added_g_overhead,added_h_overhead
1,19,26,Greedy,1216,3648,3819
1,19,26,Heuristic,1216,3648,3819
1,21,19,Greedy,1112,3696,3885
1,21,19,Heuristic,1112,3696,3885
1,21,31,Greedy,1224,3840,4029
1,21,31,Heuristic,1224,3840,4029
1,22,3,Greedy,1352,4016,4214
1,22,3,Heuristic,1352,4016,4214
1,22,12,Greedy,1160,3736,3934
1,22,12,Heuristic,1160,3736,3934
1,22,43,Greedy,1336,4288,4486
1,22,43,Heuristic,1336,4288,4486
1,22,47,Greedy,1344,4336,4534
1,22,47,Heuristic,1344,4336,4534
1,23,0,Greedy,1856,4672,4879
1,23,0,Heuristic,1856,4672,4879
1,23,22,Greedy,1456,4656,4863
1,23,22,Heuristic,1456,4656,4863
1,24,6,Greedy,1912,4776,4992
1,24,6,Heuristic,1912,4776,4992
1,24,27,Greedy,1352,4376,4592
1,24,27,Heuristic,1352,4376,4592
1,24,29,Greedy,1288,4152,4368
1,24,29,Heuristic,1288,4152,4368
1,24,39,Greedy,1640,4320,4536
1,24,39,Heuristic,1640,4320,4536
1,24,41,Greedy,1384,4128,4344
1,24,41,Heuristic,1384,4128,4344
1,24,45,Greedy,1416,4512,4728
1,24,45,Heuristic,1416,4512,4728
1,25,20,Greedy,1240,4832,5057
1,25,20,Heuristic,1240,4832,5057
1,25,38,Greedy,1544,4712,4937
1,25,38,Heuristic,1544,4712,4937
1,26,1,Greedy,1600,5296,5530
1,26,1,Heuristic,1600,5296,5530
1,26,5,Greedy,1480,5016,5250
1,26,5,Heuristic,1480,5016,5250
1,26,24,Greedy,1312,4496,4730
1,26,24,Heuristic,1312,4496,4730
1,26,34,Greedy,1512,4816,5050
1,26,34,Heuristic,1512,4816,5050
1,27,2,Greedy,1448,5008,5251
1,27,2,Heuristic,1448,5008,5251
1,27,4,Greedy,1184,5184,5427
1,27,4,Heuristic,1184,5184,5427
1,27,28,Greedy,1656,5144,5379
1,27,28,Heuristic,1656,5144,5379
1,28,8,Greedy,1648,5280,5532
1,28,8,Heuristic,1648,5280,5532
1,28,23,Greedy,1912,5416,5668
1,28,23,Heuristic,1912,5416,5668
1,28,25,Greedy,2352,5808,4544
1,28,25,Heuristic,2352,5808,4544
1,28,33,Greedy,1264,4448,4700
1,28,33,Heuristic,1264,4448,4700
1,29,10,Greedy,1944,5984,5451
1,29,10,Heuristic,1944,5984,5451
1,29,18,Greedy,1808,5312,5573
1,29,18,Heuristic,1808,5312,5573
1,29,49,Greedy,1280,5000,5261
1,29,49,Heuristic,1280,5000,5261
1,30,16,Greedy,1800,5928,6206
1,30,16,Heuristic,1800,5928,6206
1,30,36,Greedy,1696,6360,6630
1,30,36,Heuristic,1696,6360,6630
1,30,37,Greedy,1800,5696,5966
1,30,37,Heuristic,1800,5696,5966
1,30,44,Greedy,1816,5920,6190
1,30,44,Heuristic,1816,5920,6190
1,31,15,Greedy,2576,7008,4632
1,31,21,Greedy,1280,5320,5599
1,31,21,Heuristic,1280,5320,5599
1,32,15,Heuristic,2760,7408,4632
1,32,42,Greedy,2552,6416,5212
1,32,42,Heuristic,2552,6416,5212
1,34,17,Heuristic,2496,7360,5011
1,35,17,Greedy,2624,7752,5011
1,35,39,Simple,3488,8720,4536
1,37,0,Simple,4552,10272,6924
1,37,40,Greedy,2424,7376,7621
1,38,3,Simple,3984,10416,8304
1,39,13,Greedy,1936,7880,5239
1,39,13,Heuristic,1936,7880,5239
1,39,40,Heuristic,2696,8176,8423
1,39,45,Simple,4088,10512,6364
1,40,26,Simple,4760,12048,7909
1,40,32,Greedy,2864,8816,8679
1,40,47,Simple,4528,11536,8624
1,41,43,Simple,4712,11888,6122
1,41,46,Greedy,3216,9184,5317
1,42,11,Greedy,4152,8616,4172
1,42,23,Simple,4392,11016,11394
1,42,32,Heuristic,3200,9616,8679
1,42,46,Heuristic,3344,9584,5317
1,43,6,Simple,5528,12376,8264
1,43,48,Greedy,3208,9720,4387
1,43,48,Heuristic,3208,9720,4387
1,44,11,Heuristic,4544,9416,4172
1,44,31,Simple,5104,13040,13436
1,46,15,Simple,5288,13008,4632
1,47,25,Simple,6056,13408,4544
1,47,27,Simple,5328,13576,13999
1,48,1,Simple,5432,14096,14528
1,48,19,Simple,5408,14496,14928
1,50,5,Simple,5392,14616,6886
1,51,11,Simple,5864,12216,4172
1,51,12,Simple,5880,15336,8842
1,51,37,Simple,5176,14096,14555
1,52,14,Greedy,4992,11496,4149
1,52,29,Simple,6248,15352,8458
1,53,8,Simple,5816,15280,6350
1,53,17,Simple,5896,14952,5011
1,53,22,Simple,7056,16656,7317
1,53,28,Simple,6200,15544,8242
1,53,36,Simple,5656,15560,6630
1,53,41,Simple,6112,15728,8434
1,53,42,Simple,6320,14816,5212
1,54,7,Greedy,5240,12488,2816
1,54,14,Heuristic,5304,12296,4149
1,55,2,Simple,6360,16208,11386
1,55,16,Simple,6024,15928,9887
1,55,24,Simple,5952,16096,11274
1,56,10,Simple,6808,16784,5451
1,56,34,Simple,6704,16816,17320
1,56,40,Simple,5704,14976,9650
1,56,44,Simple,6280,16320,11098
1,58,7,Heuristic,5960,14088,2816
1,58,32,Simple,6312,16016,8679
1,58,38,Simple,7368,17912,11890
1,59,18,Simple,6872,17312,15798
1,59,46,Simple,6736,16384,5317
1,60,9,Greedy,5904,13888,4390
1,60,14,Simple,6544,14696,4149
1,60,49,Simple,6152,17400,6079
1,61,4,Simple,7000,18784,11971
1,61,7,Simple,6544,15288,2816
1,64,9,Simple,6760,15488,4390
1,64,20,Simple,8128,20432,12419
1,65,33,Simple,7456,19248,9199
1,66,9,Heuristic,7192,16288,4390
1,66,21,Simple,7328,19320,8871
1,66,48,Simple,7672,18920,4387
1,67,13,Simple,6240,19080,5239
1,80,35,Greedy,8408,18112,1936
1,84,35,Simple,9152,19712,1936
1,84,35,Heuristic,9152,19712,1936
1,118,30,Greedy,11648,26112,1754
1,132,30,Simple,14432,31712,1754
1,142,30,Heuristic,16504,35712,1754
2,20,39,Greedy,1328,3784,3964
2,20,39,Heuristic,1328,3784,3964
2,20,45,Greedy,1464,3616,3796
2,20,45,Heuristic,1464,3616,3796
2,22,42,Greedy,1264,4248,4446
2,22,42,Heuristic,1264,4248,4446
2,22,47,Greedy,1400,4128,4326
2,22,47,Heuristic,1400,4128,4326
2,23,26,Greedy,1744,4696,4903
2,23,26,Heuristic,1744,4696,4903
2,23,38,Greedy,1472,4832,5039
2,23,38,Heuristic,1472,4832,5039
2,23,43,Greedy,1584,4632,4839
2,23,43,Heuristic,1584,4632,4839
2,24,3,Greedy,1808,5040,5256
2,24,3,Heuristic,1808,5040,5256
2,24,15,Greedy,1672,4816,5032
2,24,15,Heuristic,1672,4816,5032
2,24,18,Greedy,1320,4664,4880
2,24,18,Heuristic,1320,4664,4880
2,24,23,Greedy,1488,4440,4656
2,24,23,Heuristic,1488,4440,4656
2,24,27,Greedy,1392,4776,4992
2,24,27,Heuristic,1392,4776,4992
2,24,37,Greedy,1352,4448,4664
2,24,37,Heuristic,1352,4448,4664
2,25,1,Greedy,1512,5312,5537
